Codi farm,Oficina de farmàcia,Tipus via,Nom via,Núm. Via,Municipi,CP,ABS,Telèfon
F08005129,BENEDID COSTA. MONTSERRAT,CR,SANT ANTONI ABAT,1,BARCELONA,08001,19 BARCELONA 1-D,934410903
F08005136,ESTEBAN BOTER. MARGARITA,CR,MUNTANER,184,BARCELONA,08036,25 BARCELONA 2-E,932305304
F08005143,PUJOL PEREITA. IGNACIO,PS,DE GRACIA,129,BARCELONA,08008,48 BARCELONA 6-B,932181993
F08005150,MERCADE SALAVERT.MA.MERCE,AV,MERIDIANA,117,BARCELONA,08026,75 BARCELONA 10-E,932322908
F08005168,ESPONA MESEGUER. NURIA,PL,CATALUNYA,1,BARCELONA,08002,24 BARCELONA 2-D,933171446
F08005175,JIMENEZ CARA. SONIA,CR,SANTS,145,BARCELONA,08028,36 BARCELONA 3-E,933395582
F08005182,AGUILAR PEYRA. M.VICTORIA,RB,LA RAMBLA,44,BARCELONA,08002,18 BARCELONA 1-C,933020391
F08005190,RIBA SERRANO. M/RIBA SERRANO. J,GV,CORTS CATALANES,470,BARCELONA,08015,21 BARCELONA 2-A,933251194
F08005200,DE MIR TUBERT. M.JOSEFA/NAVARRO DE MIR.IGNACIO/NAVARRO DE MIR. MIRIAM,CR,BALMES,94,BARCELONA,08008,25 BARCELONA 2-E,932152185
F08005217,MISERACHS LALANDE. MARTA,CR,ROGER DE LLURIA,51,BARCELONA,08009,27 BARCELONA 2-G,939999999
F08005224,PEREZ SANCHEZ. M TERESA,CR,ROIG I SOLER,5-7,BARCELONA,08035,55 BARCELONA 7-E,933025482
F08005231,LÓPEZ FORMENT. SALVADOR,CR,GIRONA,90,BARCELONA,08009,27 BARCELONA 2-G,934576249
F08005249,SAGARRA AGUILAR. LAURA,CR,SANT DOMENEC,20,BARCELONA,08012,48 BARCELONA 6-B,932371594
F08005256,LLENAS JUST/VILARDELL WILLIGES,AV,PARAL.LEL,48,BARCELONA,08001,19 BARCELONA 1-D,932410223
F08005263,PASCUAL ARNAU. LLUIS,CR,ARAGO,537,BARCELONA,08026,75 BARCELONA 10-E,932320056
F08005270,MAS VALLS. M.TERESA/QUETGLAS MAS. M.LÍVIA.,TS,DE GRACIA,166,BARCELONA,08012,48 BARCELONA 6-B,932188985
F08005288,APARISI SERRANO. JOAN FRANCESC,CR,MUNTANYA,79,BARCELONA,08026,76 BARCELONA 10-F,934330900
F08005295,MORERA INGLES. JOSEP M,PS,SANT JOAN,3,BARCELONA,08010,28 BARCELONA 2-H,932324210
F08005305,MARTÍNEZ GIMENO. MARIA,CR,MALLORCA,131,BARCELONA,08036,25 BARCELONA 2-E,934534106
F08005312,NADAL CASAS. MANUEL,RB,CANALETES,121,BARCELONA,08002,20 BARCELONA 1-E,933174942
F08005320,PIQUE FIGUEROLA. RAIMON,CR,SANT CARLES,7,BARCELONA,08003,16 BARCELONA 1-A,933194803
F08005344,PRECIADO IGLESIAS. M.DEL CARME,CR,PROVENÇA,39,BARCELONA,08029,23 BARCELONA 2-C,932301228
F08005351,SANTAMARIA GRIERA. VANESSA/RIBA GENIS. CARLES,CR,BRUC,114,BARCELONA,08009,27 BARCELONA 2-G,932576430
F08005369,BENAVIDES HELBIG. SANTIAGO,CR,JOAQUIN COSTA,31,BARCELONA,08001,20 BARCELONA 1-E,932424945
F08005376,NOVOA RODRIGUEZ. CASTO,CR,CREU COBERTA,71,BARCELONA,08014,35 BARCELONA 3-D,934236063
F08005383,ALTIRRIBA GUTIERREZ. JORDI,CR,PORTO,30-36,BARCELONA,08032,56 BARCELONA 7-F,934291092
F08005390,RIVES. ISABELLE  MARIE THERESE,CR,SEPULVEDA,170,BARCELONA,08011,24 BARCELONA 2-D,932231022
F08005400,MAGRINYA  RULL. JOSEP MARIA I JORDI,CR,RAMON TURRO,252,BARCELONA,08005,72 BARCELONA 10-B,933092443
F08005418,REGUERA BORREGO. HERMINIA,CR,SANTUARI,53,BARCELONA,08032,53 BARCELONA 7-C,939999999
