Codi farm,Oficina de farmàcia,Tipus via,Nom via,Núm. Via,CP,ABS,Telèfon,Nom comarca,Nom,província,geocode_input,address,lat,lng
F08017935,Plana mendo. joan josep,Carrer,Lope de vega,282,8018,77 barcelona 10-g,933083958,Barcelonès,Barcelona,Barcelona,"Carrer Lope de vega, 282, 08018, Barcelona, Barcelona, Spain","Carrer de Lope de Vega, 282, 08018 Barcelona, Spain",41.412285,2.1933326
F08017942,Aliberch roca. xavier,Ronda,Camprodon,36,8500,350 vic-1 nord,938861248,Osona,Vic,Barcelona,"Ronda Camprodon, 36, 08500, Vic, Barcelona, Spain","Ronda de Francesc Camprodon, 36, 08500 Vic, Barcelona, Spain",41.9338698,2.2518922
F08017950,Montserrat olivella. antoni,Carrer,Sant jordi,25,8191,309 rubí 1,936990291,Vallès Occidental,Rubí,Barcelona,"Carrer Sant jordi, 25, 08191, Rubí, Barcelona, Spain","Carrer de Sant Jordi, 25, 08191 Rubí, Barcelona, Spain",41.4959725,2.0340159
F08017967,Viles lladó. edgar,Carrer,Pintor alsamora,21,8016,,933500311,Barcelonès,Barcelona,Barcelona,"Carrer Pintor alsamora, 21, 08016, Barcelona, Barcelona, Spain","Carrer del Pintor Alsamora, 21, 08016 Barcelona, Spain",41.4351428,2.1788284
F08017974,Nogueras escorsa. noemí.,Carrer,Almeria,77,8304,155 mataró 4,937985008,Maresme,Mataró,Barcelona,"Carrer Almeria, 77, 08304, Mataró, Barcelona, Spain","Carrer d'Almeria, 77, 08304 Mataró, Barcelona, Spain",41.5546216,2.4448384
F08017981,Barenys de lacha. m.carme,,Zona franca,122,8038,34 barcelona 3-c,933320210,Barcelonès,Barcelona,Barcelona,,,,
F08017999,Paz rosaura. maria merce,Carrer,Holanda,5,8228,249 terrassa c,937362575,Vallès Occidental,Terrassa,Barcelona,"Carrer Holanda, 5, 08228, Terrassa, Barcelona, Spain","Carrer d'Holanda, 5, 08228 Terrassa, Barcelona, Spain",41.5354105,2.0391794
F08018008,Vega masana. m.teresa de,Carrer,Viladomat,154,8015,22 barcelona 2-b,933230591,Barcelonès,Barcelona,Barcelona,"Carrer Viladomat, 154, 08015, Barcelona, Barcelona, Spain","C. de Viladomat, 154, 08015 Barcelona, Spain",41.38270930000000,2.1535364
F08018015,Gibert rovira. joan albert,Carrer,Pau claris,35,8780,367 pallejà,936682323,Baix Llobregat,Pallejà,Barcelona,"Carrer Pau claris, 35, 08780, Pallejà, Barcelona, Spain","Carrer Pau Claris, 35, 08780 Pallejà, Barcelona, Spain",41.4251612,1.9972869
F08018022,Borges roig. anna,Carrer,Rupert llado,5,8980,209 sant feliu de llobregat 1,936663556,Baix Llobregat,Sant Feliu de Llobregat,Barcelona,"Carrer Rupert llado, 5, 08980, Sant Feliu de Llobregat, Barcelona, Spain","Carrer de Rupert Lladó, 5, 08980 Sant Feliu de Llobregat, Barcelona, Spain",41.3826503,2.0410583
F08018030,Garrabou goma. manuel,Avinguda,Parlament,28,8225,251 terrassa e,937351271,Vallès Occidental,Terrassa,Barcelona,"Avinguda Parlament, 28, 08225, Terrassa, Barcelona, Spain","Av. del Parlament, 28, 08225 Terrassa, Barcelona, Spain",41.5814903,2.0135507
F08018047,Castellà aumedes. carles,Carrer,De joan maragall,26,8830,203 sant boi de llobregat 2,936406945,Baix Llobregat,Sant Boi de Llobregat,Barcelona,"Carrer De joan maragall, 26, 08830, Sant Boi de Llobregat, Barcelona, Spain","Carrer de Joan Maragall, 26, 08940 Cornellà de Llobregat, Barcelona, Spain",41.3568908,2.0708076
F08018054,Torrents pont. jaume,Carrer,Diagonal,34,8290,104 cerdanyola del vallès 1,935803904,Vallès Occidental,Cerdanyola del Vallès,Barcelona,"Carrer Diagonal, 34, 08290, Cerdanyola del Vallès, Barcelona, Spain","Carrer Diagonal, 34, 08290 Cerdanyola del Vallès, Barcelona, Spain",41.4936782,2.133071
