Codi,Nom ,Codi comarca,Nom comarca,Altitud(m),Superfície(km2),Població,densitat(habitants/km2),IST_idescat,Índex socioeconòmic territorial
80333,Caldes de Montbui,41,Vallès Oriental,203,37.45,17812,475.62,1.0,106.1
82021,Sant Celoni,41,Vallès Oriental,152,65.23,18136,278.03,1.0,98.1
82592,Santa Maria de Palautordera,41,Vallès Oriental,208,16.94,963,56.85,1.0,102.7
82567,Santa Maria de Martorelles,41,Vallès Oriental,181,4.51,890,197.34,0.0,101.5
82074,Sant Esteve de Palautordera,41,Vallès Oriental,231,10.64,2864,269.17,0.0,101.5
82346,Sant Pere de Vilamajor,41,Vallès Oriental,305,34.72,4544,130.88,0.0,101.5
81069,Llinars del Vallès,41,Vallès Oriental,198,27.63,10018,362.58,1.0,103.2
81081,Lliçà de Vall,41,Vallès Oriental,125,10.83,6497,599.91,1.0,111.8
82482,Santa Eulàlia de Ronçana,41,Vallès Oriental,236,14.23,7426,521.86,1.0,107.4
81075,Lliçà d'Amunt,41,Vallès Oriental,145,22.33,15469,692.75,1.0,105.6
83067,Vilalba Sasserra,41,Vallès Oriental,200,6.05,753,124.46,0.0,101.5
81249,Mollet del Vallès,41,Vallès Oriental,65,10.77,516,47.91,1.0,94.8
81056,"Llagosta, la",41,Vallès Oriental,45,3.03,13587,4484.16,1.0,88.0
81350,Montmeló,41,Vallès Oriental,72,4.0,8831,2207.75,1.0,100.0
82093,Sant Fost de Campsentelles,41,Vallès Oriental,112,13.15,8853,673.23,1.0,109.2
82107,Sant Feliu de Codines,41,Vallès Oriental,480,15.0,6363,424.2,1.0,100.5
80961,Granollers,41,Vallès Oriental,145,14.87,62419,4197.65,1.0,98.3
80885,"Garriga, la",41,Vallès Oriental,252,18.8,16668,886.6,1.0,110.5
80863,"Franqueses del Vallès, les",41,Vallès Oriental,181,29.14,20364,698.83,1.0,99.3
81363,Montornès del Vallès,41,Vallès Oriental,116,10.23,16644,1626.98,1.0,94.5
82763,Tagamanent,41,Vallès Oriental,354,43.31,318,7.34,0.0,101.5
81287,Monistrol de Calders,42,Moianès,447,21.97,702,31.95,0.0,103.6
80706,Collsuspina,42,Moianès,901,15.06,359,23.84,0.0,103.6
82397,Sant Quirze Safaja,42,Moianès,627,26.21,631,24.07,0.0,103.6
80790,"Estany, l'",42,Moianès,870,10.25,408,39.8,0.0,103.6
81385,Moià,42,Moianès,717,75.31,6383,84.76,1.0,100.3
82589,Santa Maria d'Oló,42,Moianès,542,66.21,1024,15.47,0.0,103.6
80641,Castellterçol,42,Moianès,726,31.9,2548,79.87,0.0,103.6
80556,Castellcir,42,Moianès,773,34.18,742,21.71,0.0,103.6
80348,Calders,42,Moianès,552,33.09,1045,31.58,0.0,103.6
80958,Granera,42,Moianès,782,23.73,77,3.24,0.0,103.6
